fecha,ndvi
2023-09-25,0.34242176857034917
2023-09-30,0.34810685658758883
2023-10-05,0.3364489508076818
2023-10-10,0.35300149115431656
2023-11-19,0.3500275953337313
2023-11-24,0.3490683330798573
2023-12-19,0.341116474416291
2024-01-08,0.3472014213575158
2024-02-02,0.2774387818069549
2024-02-17,0.3393197569987137
2024-04-12,0.33093781869402733
2024-04-17,0.3406859800468339
2024-04-22,0.3428577580383551
2024-06-01,0.3271454651524562
2024-06-16,0.3509394240742118
2024-07-01,0.3496969249392736
2024-07-11,0.34139434533527097
2024-07-16,0.35119699294406087
2024-07-21,0.34846203415345184
2024-07-26,0.3428000117117999
2024-07-31,0.3482965125523038
2024-08-05,0.35159007805193776
2024-08-10,0.33135448058630995
2024-08-15,0.3499170844970681
2024-08-20,0.3504789704841795
